;date;news;cleaned_tweets
0;2024-09-09 19:49:00;Omicidio Sharon Verzeni;moussa sangare pochi minuti prima aveva ucciso a coltellate per strada sharon verzeni a Terno d'isola. qui inquadrato a Chignolo d'isola (tra l'altro tristemente famosa per il ritrovamento del corpo di Yara Gambirasio nel 2011)....si ferma e svolta per non essere visto dal guidatore dell'auto in arrivo e poi riparte verso casa.lucidissimo.
1;2024-09-02 11:47:00;Omicidio Sharon Verzeni;4 coltelli in tasca e prove tecniche di omicidio. Risparmiateci la lagna della follia sharon verzeni
2;2024-09-03 11:03:00;Omicidio Sharon Verzeni;Ho tenuto il coltello. Volevo un ricordo sharon verzeni
3;2024-09-10 09:12:00;Omicidio Sharon Verzeni;Ecco il video di sharon verzeni in cui si vede moussa sangare che scappa in bicicletta
4;2024-09-01 15:10:00;Omicidio Sharon Verzeni;capezzone sul caso sharon verzeni e Moussa Sangare. Cittadinanza facile e ipocrisia della sinistra. Come dargli torto.
5;2024-09-03 11:24:00;Omicidio Sharon Verzeni;Moussa Sangare: Purtroppo capitato, passato un mese, piangere non posso piangere, non ti puoi buttare gi altrimenti non ti rialzi pi sharon verzeni
6;2024-09-13 21:49:00;Omicidio Sharon Verzeni;Praticamente questo assassino schifoso di moussa sangare, fallito rapper narciso wannabe gangster, ha ammazzato quella poveretta di sharon verzeni per sentirsi potente, vivo. Che razza di coglione senza speranza. quartogrado
7;2024-09-04 16:26:00;Omicidio Sharon Verzeni;L'assassino di sharon verzeni per la sinistra ITALIANISSIMO
8;2024-09-02 12:53:00;Omicidio Sharon Verzeni;"Nel carcere di bergamo l'interrogatorio di moussa sangare, accusato di aver ucciso con 4 coltellate sharon verzeni a terno d isola. ""Non so perch l'ho fatto"", ha detto al giudice"
9;2024-09-02 17:22:00;Omicidio Sharon Verzeni;Avevo paura di mio fratello, mi dispiace molto per quello che successo Omicidio sharon verzeni, a pomeriggio5 parla in esclusiva la sorella del killer
10;2024-09-03 10:14:00;Omicidio Sharon Verzeni;sharon verzeni Si delineano i profili di un delitto terribile. Moussa Sangare ha agito con lucidit e il suo stato mentale era pienamente integro. Lo scrive il gip di Bergamo nella convalida del fermo in carcere.
11;2024-09-05 10:49:00;Omicidio Sharon Verzeni;"Non solo sharon verzeni. Si indaga sui delitti irrisolti nella zona: ""moussa sangare un serial killer?"
12;2024-09-01 18:34:00;Omicidio Sharon Verzeni;Questo paese ha un disperato bisogno di affrontare le emergenze psichiatriche sommerse ed emerse. Non di rendicontare le tragedie in ragione di nazionalit, religione o attitudini politiche paderno Dugnano sharon verzeni
13;2024-09-03 09:13:00;Omicidio Sharon Verzeni;L'omicidio di sharon verzeni. Arresto convalidato per moussa sangare. Per il giudice il suo stato mentale perfettamente integro. L'uomo sar trasferito in un altro carcere dopo che i detenuti, a bergamo, gli hanno lanciato contro bombolette incendiarie
14;2024-09-01 20:37:00;Omicidio Sharon Verzeni;"Il paese di Sharon Verzeni sempre stato tranquillo, non ci sono mai stati problemimicidio Sharon Verzeni"""
15;2024-08-30 13:25:00;Omicidio Sharon Verzeni;L'assassino di sharon verzeni ITALIANO: - nato in Italia, a Milano - cittadinanza italiana - ha studiato ed cresciuto in Italia Quindi la cultura che ha avuto pi influenza su di lui quella ITALIANA.
16;2024-09-03 17:44:00;Omicidio Sharon Verzeni;Il killer di sharon verzeni alla grigliata dopo l'omicidio A pomeriggio5 parla l'amico di Moussa Sangare
17;2024-09-01 20:56:00;Omicidio Sharon Verzeni;Salvini ha denunciato l'omicida di sharon verzeni perch era straniero ma non ha fatto lo stesso per il 17enne che ha ucciso la sua famiglia a Paderno Dugnano
18;2024-09-04 08:54:00;Omicidio Sharon Verzeni;L'omicidio di sharon verzeni. Sono stati identificati i due ragazzini minacciati da moussa sangare poco prima di uccidere la donna. Uno dei due stato gi sentito dai carabinieri
19;2024-09-09 14:35:00;Omicidio Sharon Verzeni;Ma siamo sicuri che sia stato moussa ad ammazzare sharon verzeni? Ne siete cos certi? Aspettiamo i processi, perch secondo me sto ragazzo era in cerca di visibilit e ne sta avendo tanta, ma poi si dovr essere sicuri che sia lui l'assassino.
20;2024-09-17 09:52:00;Processo Salvini;Si, e non difficile capirlo perch Falcone e Borsellino avrebbero indagato la open arms non salvini.
21;2024-09-17 09:32:00;Processo Salvini;Io comunque in galera ci manderei quel comandante della open arms che rifiutando di andare in Spgna o a Malta..ha dimostrato di essere lui il vero sequestratore..perch infatti stato lui a voler tenere i migranti fermi 19 giorni.
22;2024-09-17 09:30:00;Processo Salvini;Gli errori e le omissioni nella arringa social di Matteo salvini sul caso open arms. Cosa ha detto Matteo Salvini nel suo video e cosa c scritto nella requisitoria della Procura di Palermo
23;2024-09-17 09:25:00;Processo Salvini;Meloni interviene pubblicamente sul processo di Salvini e confonde il potere esecutivo con quello giudiziario, snobbando il diritto internazionale.Delirio di onnipotenza ne abbiamo?17settembre ilvocio meloni open arms salvini processo
24;2024-09-17 09:22:00;Processo Salvini;"Open Arms, Salvini non si presenta in aula, poi commenta: ""C una parte della giustizia politicizzata, ci sono magistrati e Pm che fanno politica"". Chi vi ricorda? E perch proprio quel tizio dell'uveite? salvini_in_ galera open arms 17settembre migranti salvini governo"
25;2024-09-17 09:00:00;Processo Salvini;Processo open arms. salvini Non patteggio, un processo politico. Il leader della lega riunisce il consiglio federale: a pontida il 6 ottobre, manifestazione per la difesa dei confini. Le opposizioni Cos si delegittima la magistratura.Il punto di Lucio Bond
26;2024-09-17 08:58:00;Processo Salvini;Per collocare temporalmente e politicamente il caso open arms, per cui a processo salvini, potete utilizzare la cronologia che sto costruendo. L'estate 2019 gi c'! PS se manca qualche evento che ritenete importante, segnalatemelo, cos lo aggiungo.
27;2024-09-17 08:53:00;Processo Salvini;Sul processo a salvini per il caso openarms tutto uno schierarsi (ben oltre i limiti istituzionali e politici in attesa di sentenze)..Un po' di attenzione alla egemonia tramite il tema dei migranti e degli stranieri, e alle modalit di tenuta delle destre non guasta.
28;2024-09-17 08:48:00;Processo Salvini;Farebbe ridere se non si trattasse delle condizioni esistenziali di altri esseri umani, considerare, come dichiara salvini, il blocco dei migranti sulla open arms, come DIFESA DEI CONFINI come se si trattasse di una minaccia esterna ostile ed armata.
29;2024-09-17 08:47:00;Processo Salvini;Si pu essere daccordo o meno sui Decreti sicurezza dellallora Ministro dellInterno salvini: quello che per gravissimo la pretesa delle toghe di sentenziare sulla linea politica di un governoopen arms
30;2024-09-16 15:35:00;Processo Salvini;I Pm di Palermo hanno chiesto una condanna a 6 anni per Salvini per aver impedito, 5 anni fa quand'era ministro dell'Interno, lo sbarco a Lampedusa di 147 migranti e averli sequestrati a bordo della Open Arms. Non fu l'unica volta: anche nel 2018, Salvini ordin di non far scendere i migranti a bordo della Diciotti al porto di Catania. La scelta si trasform in un caso politico-giudiziario, usato dal governo per aprire una trattativa sulla redistribuzione dei migranti con lEuropa. Ce n'eravamo occupati qui
31;2024-09-17 08:26:00;Processo Salvini;Gli ignoranti sostengono che il processo a salvini sia un processo politico contro il governo Conte I. FALSO! Il Governo Conte I moll Salvini durante il sequestro di open arms.
32;2024-09-17 08:17:00;Processo Salvini;open arms poteva scegliere un porto nel Mediterraneo...nessuno stato sequestrato, il fatto che si chiedano 6 anni di galera per un Ministro della Repubblica la prova che il processo sia solo politico. salvini
33;2024-09-17 07:18:00;Processo Salvini;Caso open arms, scontro tra maggioranza e opposizione sugli attacchi alla magistratura. salvini: Non patteggio. Arrivo fino in cassazione |
34;2024-09-17 07:15:00;Processo Salvini;I giudici chiedono 6 anni di carcere per un ministro che ha ritardato lo sbarco di clandestini che non avevano diritto, ma solo la pretesa, di sbarcare e poi altri giudici rimettono in libert questi tizi... ma non un processo politico open arms
35;2024-09-17 07:00:00;Processo Salvini;open arms ha rifiutato tre porti sicuri: tunisia, malta e spagna, hanno voluto a tutti i costi far sbarcare i clandestini in italia.Quando sono stati bloccati sono stati fatti sbarcare donne e bambini, non c'era nessun motivo che open arms stesse in italia.
36;2024-09-15 10:25:00;Processo Salvini;Lasciare in mare 147 persone tra le quali 33 minori non difendere i confini se poi ne fate entrare decine di migliaia senza trovare una soluzione adeguata. salvini pagliaccio 15 settembre open arms palermo salvini immigrazione governo
37;2024-09-16 11:41:00;Processo Salvini;Ha violato la legge consapevolmente perch doveva fare l'influencer ignorando i procedimenti del Tar partita una procedura d'ufficio come a norma di legge ovviamente ma la sinistra che gli fa il processo politico. tutto molto tragicamente distopico. salvini open arms
38;2024-09-15 00:07:00;Processo Salvini;Non ho votato salvini, non voterei Salvini e non voter Salvini. Ma mandarlo in carcere per aver difeso i confini e aver mantenuto un impegno elettorale una porcata abnorme. Un grazie a elon musk per questo tweet. 15 settembre open arms
39;2024-09-15 08:44:00;Processo Salvini;"Processo open arms, chiesti 6 anni di carcere per salvini. ""E' incredibile che un ministro della Repubblica rischi 6 anni di carcere per aver fatto il suo lavoro"", il commento di richiesta del pubblico ministero"
40;2024-09-15 23:06:00;Monza-Inter;E niente ragazzi. Cera il Monza con un pallone solo da spingere in gol allultimo secondo, e cera in tribuna la marotta league giuoco fermo, ovviamente. il prosieguo della scorsa stagione!!monzainter
41;2024-09-17 06:03:00;Monza-Inter;Riguardo monza inter io non so se l'Inter-Nazionale ha segnato con gol viziato da fuorigioco o se Pessina avrebbe poi finalizzato il vantaggio.Per l'arbitro era tale pairetto, figlio di, fratello di..
42;2024-09-16 10:45:00;Monza-Inter;grave, gravissimo come sar gravissimo che anche questa volta taceranno tutti. marotta league inter monza monza inter serie a serie a enilive
43;2024-09-16 11:52:00;Monza-Inter;monza inter - Il fischio anticipato di pairetto ha un precedente (pi grave) nella stessa gara di due stagioni fa con sacchi che annull un gol ad acerbi. L'arbitro di Macerata fu fermato due mesi, il collega di Nichelino ricever lo stesso trattamento?
44;2024-01-14 10:24:00;Monza-Inter;Bellissimo gesto di Lautaro che a fine gara va subito a consolare il portiere avversario monza inter
45;2024-09-16 09:16:00;Monza-Inter;Sul gol di dumfries fuorigioco (ATTIVO) di arnautovic che cerca anche di colpire la palla (ad altre squadre li annullano per MOOOOOLTO MENO). pessina va in porta SE si applicasse la regola del vantaggio, ma pairetto associato alla marotta league fischia in tempo. monza inter
46;2024-09-16 12:06:00;Monza-Inter;Il fuorigioco un concetto di cui sappiamo spaventosamente poco monza inter marotta league
47;2024-09-15 22:31:00;Monza-Inter;Arriva subito il pareggio dell'inter con dumfries. Finale scoppiettante monza inter
48;2024-09-15 22:53:00;Monza-Inter;Minuto 92.58 contropiede Monza, 4 vs 3, Pavard abbatte l'avversario. Fallo e zero gialli!!. 40 secondi dopo, Airoldi interrompe una chiara occasione da gol per fischiare il fallo e dare giallo a Pavard per altro fallo al limite dell'area. Giudicate voi monzainter
49;2024-09-16 16:00:00;Monza-Inter;Qual' la differenza? Uno ininfluente e l'altro invece fa annullare il gol. Vediamo la favoletta che vi inventate. cambiato il regolamento? rocchi monza inter marotta league pairetto dazn gravina vergogna
50;2024-09-16 16:51:00;Monza-Inter;Gli ultimi 5 pi squallidi della storia del calcio. -Gol in fuorigioco Mancato vantaggio Lo schifo monza inter
51;2024-01-15 16:31:00;Monza-Inter;Lo strano arbitraggio di monza inter Fosse capitato con la juventus, cosa avrebbero detto gli interisti?
52;2024-09-16 08:05:00;Monza-Inter;monza inter. Ho letto analisi folli e pagelle da Caporetto. Mentre la prestazione di ieri dell'Inter - non scintillante - doveva e poteva bastare a vincere la partita. I numeri lo confermano. Se non accaduto, stato per scarso cinismo e per la poca ferocia sul gol di Mota.
53;2024-09-15 22:29:00;Monza-Inter;dany mota sblocca clamorosamente la partita in favore del monza con un colpo di testa sontuoso su bel cross di Izzo. monza inter
54;2024-09-16 13:27:00;Monza-Inter;Vedere asllani in campo, senza nessun straccio di idea calcistica, giocare in orizzontale, sbagliare ogni cambio di gioco, ti fa venir voglia di prenderlo a calci nel culo, e sperare che a calhanoglu non venga mai un raffreddore.MonzaInter
55;2024-09-16 12:19:00;Monza-Inter;Gli interisti stanno gi ispezionando ogni frame e segnandosi ogni carezza non fischiata contro agli altri per pareggiare i conti monza inter marotta league
56;2024-09-16 10:37:00;Monza-Inter;Fuorigioco attivo! Gol da annullare ma nella marottaleague lInter immune! monza inter
57;2024-09-15 22:56:00;Monza-Inter;monza inter | Grave errore di pairetto che fischia un fallo ai padroni di casa non concedendo un vantaggio plateale, che avrebbe permesso a pessina di trovarsi a tu per tu con sommer
