;date;text;news
72;2020-07-25 12:25:09;Thread by @DrZoeHyde (based on international research and evidence) 1. Updated thread on children and #COVID19, sum… https://t.co/A1xWVotp75;"COVID19"
59;2020-07-25 12:25:28;US #CoronaVirus: 4,249,584 cases and 148,521 deaths reported in the United States to date.  1,257 new cases and 31… https://t.co/j4TreMnKW5;"COVID19"
88;2020-07-25 12:24:38;The cost of preventing further pandemics over the next decade by protecting wildlife and forests would equate to ju… https://t.co/8yqpH3GrLf;"COVID19"
38;2020-07-25 12:26:01;@jfoster2019 @bbclaurak Well #BorisJohnson might have understood more if he hadn't missed #5COBRA meeting #Five  In… https://t.co/mQPAgCYGn2;"COVID19"
23;2020-07-25 12:26:30;"The first comprehensive review of #WASH &amp; #COVID19.  Analysis: key ways in which WASH can help reduce transmission… https://t.co/eCsfDmo9b4";"COVID19"
46;2020-07-25 12:25:42;Why has Ruto not eulogisied Mkapa!!  Asking for Moses Kuria   Raila  #RutoSwindlingGEMA  #COVID19;"COVID19"
87;2020-07-25 12:24:38;#NSTworld There will not be a #NationalDayRally (#NDR) this year, due to safe distancing requirements as a result o… https://t.co/XJMZjyPCrn;"COVID19"
7;2020-07-25 12:27:00;You now have to wear face coverings when out shopping - this includes a visit to your local Community Pharmacy… https://t.co/OSu5Q4kdd7;"COVID19"
77;2020-07-25 12:25:02;What economic measures are governments taking to respond to #COVID19? Key actions taken by 193 countries are listed… https://t.co/5FXaZWFaLW;"COVID19"
45;2020-07-25 12:25:46;#TamilNadu | #COVID19 |  25th July  ●  TN - 6,988 (Highest Spike)  ●  Total Cases  - 2,06,737  ●  Chennai - 1,329… https://t.co/X8zgUzC0Gr;"COVID19"
50;2020-07-25 12:25:37;"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/Ifse0whbVE";"COVID19"
61;2020-07-25 12:25:24;I miss isopropyl alcohol so much!!!! Ethanol in hand sanitizer smells like I poured tequila on my hands 🤢 #COVID19;"COVID19"
39;2020-07-25 12:26:00;We released two new #COVID19 podcast episodes this week: -Technology Platforms Used to Conduct Telehealth Visits -C… https://t.co/G94VeYVCzk;"COVID19"
48;2020-07-25 12:25:37;"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/AkxvIaD1Pr";"COVID19"
85;2020-07-25 12:24:48;Rakesh Sharma best business Coach in India Website: https://t.co/oG44LxC2Gg #salescoach #BusinessCoach  #salesforce… https://t.co/GkipPLJMX9;"COVID19"
84;2020-07-25 12:24:49;How Ireland built its COVID-19 contract tracing app, which is so successful that U, S. states want to use it… https://t.co/f0DavA6psh;"COVID19"
1;2020-07-25 12:27:17;Hey @Yankees @YankeesPR and @MLB - wouldn't it have made more sense to have the players pay their respects to the A… https://t.co/1QvW0zgyPu;"COVID19"
57;2020-07-25 12:25:29;Crazy that the world has come to this but as Americans we will fight to get through this!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #covid19;"COVID19"
55;2020-07-25 12:25:34;"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/eu5g2djZYx";"COVID19"
82;2020-07-25 12:24:52;Hi long time no see...... In preparation for us reopening we have been doing our homework and some...... #clean… https://t.co/GjEe5w9uY2;"COVID19"
57;2022-11-20 23:40:14+00:00;No matter what will be #England and #iran #WorldCup2022  outcome , the things is football stand here as a fair game and to see how world react to iran situtaion! and sending message around the world for young poeple in particular to see that inclucivity is very important;"WorldCup2022"
85;2022-11-20 23:30:06+00:00;Good luck to the U.S. men's national soccer team today as they kick off the 2022 #WorldCup against Wales!  #worldcup2022 #emergencyservice #water #mold #fire #hazardcleaning #waterdamage #disastercleanup #commercial #residential #construction #restoration #ordorremoval #SERVPRO https://t.co/JduYly6wur;"WorldCup2022"
70;2022-11-20 23:36:29+00:00;#WorldCup2022 one thing I learned yesterday is 90% of the so called Football fans  are oblivious to the Offside rule 🤦🏾‍♂️
12;2022-11-20 23:54:31+00:00;Let’s go #TeamUSA 🇺🇸🇺🇸🇺🇸#WorldCup2022;"WorldCup2022"
