author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text
guardian;Tue Aug 27 15:32:19 +0000 2024;20;18884;2;2;‘I only play goddesses now’: Janet McTeer on starring in ‘Succession with gods’ drama Kaos https://t.co/YB0b3LXRUE
guardian;Tue Aug 27 15:20:23 +0000 2024;10;21884;1;5;Millions loved the Notting Hill carnival but there was too much crime. As an ex-cop, I could make it better | Leroy Logan https://t.co/AgOqg6smkW
guardian;Tue Aug 27 14:56:09 +0000 2024;14;23136;2;5;Calls to close ‘vile’ website ranking countries by tourist deaths on balconies https://t.co/eSfVATGmuY
guardian;Tue Aug 27 14:38:39 +0000 2024;16;27703;10;20;One price for locals, another for tourists: Lisbon restaurants’ secret tax on out-of-towners https://t.co/h6xJYnp65D
guardian;Tue Aug 27 14:34:00 +0000 2024;8;25412;1;2;Guardian Weekly readers: share your best recent pictures with us https://t.co/FqmhtgD0k5
guardian;Tue Aug 27 14:13:58 +0000 2024;15;30079;2;2;Francis Ford Coppola confirms he kissed extras on Megalopolis set https://t.co/B6kHG40Dp5
guardian;Tue Aug 27 13:28:33 +0000 2024;6;27889;3;0;UK gangster Curtis Warren admits breaches of crime prevention order https://t.co/vIBHV2Jzyy
guardian;Tue Aug 27 13:08:03 +0000 2024;10;30173;1;0;Path clears for Paramount merger with Skydance after Bronfman drops bid https://t.co/fG1JR5sOut
guardian;Tue Aug 27 12:53:48 +0000 2024;46;33104;12;10;What the Telegram founder’s arrest means for the regulation of social media firms https://t.co/UUzGyk5Ji4
guardian;Tue Aug 27 12:31:05 +0000 2024;3;32324;0;3;Mexico protests and a human pyramid: photos of the day – Tuesday https://t.co/wNGGdsWbKT
guardian;Tue Aug 27 12:09:00 +0000 2024;33;42578;5;96;Share your reaction to the Oasis reunion https://t.co/UVUhkXmO7y
guardian;Tue Aug 27 12:06:27 +0000 2024;15;33653;5;11;Three men arrested over stabbing of woman at Notting Hill carnival https://t.co/THdKm4KzAl
guardian;Tue Aug 27 11:30:51 +0000 2024;23;34953;5;4;Rescuers search rubble after hotel struck in Ukraine's Kryvyi Rih – video https://t.co/qJLfOoBPCd
guardian;Tue Aug 27 11:06:40 +0000 2024;161;39018;63;22;So Starbucks’ CEO commutes to work by private jet? Let’s not pretend the super-rich care about the planet | Arwa Mahdawi https://t.co/hqVelF1sLJ
guardian;Tue Aug 27 10:55:39 +0000 2024;66;33351;28;17;Here it is, the new right playbook: wreck and impoverish the country, enjoy the high life yourself | Owen Jones https://t.co/xKcccE605K
