what,who,where,when
"nadu, July TN 6988, 6988, Total, tamil, Spike, two, new, 1329, 206737, Cases, TN, episodes, released, podcast, sum, this week, Highest, Chennai, children, covid19, vaccination, Platforms, programme, 25th, Technology",Highest Spike Total Cases,,2020-07-25 12:25:02
"want, 31, corona, date, 4249584, reported, virus, cases, states, 148521, national, mens, deaths, government, successful",,"US, the United States",2020-07-25 12:24:38
"Americans, receive, Anita Quidangen, hospital, Getting, Ontarian, bio, PSW, look, Ethanol, palsy, covid, dose, COVID19, vaccinated, Quidangen, bells, doses, ntech, hand, first, just minutes later, next weekend, pfizer, review, vaccine, seeing, december, getting, comprehensive","Baptist, Poisons Enough Of The LEFT With Side Effects Like, n b o, Pfizer","britain, Toronto",2020-07-25 12:24:49
"ways, covid19 Analysis, wash, key, amp",world cup2022,,2020-07-25 12:26:30
"year, this year, rally, day",ndr,,2020-07-25 12:24:38
local,Community Pharmacy,,2020-07-25 12:27:00
"three, guys, save, Ali, Endurance, point, July, iran10, atrocities, revolution, News, happenings, 2023, Pretense, July 2023, no2, lions, plan, cause, 12 iran revolution, free, Ali Khamenei, officials, GlanceWednesday June 7 2023, Information, 1, iution, england, revo, shah, southeast, Friday, regime, iranprotests, Leader","Supreme, the Litmus Test Differentiating Genuine Resistance, the National Council of Resistance of Iran NCRI For Your Information","Paris, iran, Zahedan, iran2023",2020-07-25 12:24:49
,,iran,2022-11-20 23:40:14
"best, Website, Sharma, salescoach, business, Rakesh",Coach,India,2020-07-25 12:24:48
built,,Ireland,2020-07-25 12:24:49
"qatar2022 qatar, emergencyservice, host, airdrop, controllers, cup2022, cup, Cup, thing, World Cup 2022, africa2010 qatar2022, water, Best, 20, Gaffers, 2022, one, unsuitability, south, world, defeats, homophobic, world cup, qatar2022","Fifa, BALL","Wales worldcup2022, Ecuador, Qatar, qatar",2020-07-25 12:24:38
,Hungry For Your Love,,2022-11-20 23:56:08
,,Canada,2022-11-20 23:34:48
demand,TSN,,2022-11-20 23:34:48
"f, u, kx, j",n g k o o,,2020-07-25 12:24:38
scream,PUTO,,2022-11-20 23:57:32
"iran iran revolution, March, protests, June 9, judge, massacre, Iranian, Tehran, kill, Execution, leads, Urmia, Tehran iran Locals, supporting, June, The Attack of Defiant Youths, 9, 1988, iran revolution, people, no2 shah, mullahs, Zahedan, Free, DONT NEGOTIATE, November, produced, November 2022","iran Demonstrators, Briefing News","Iran, Azerbaijan, Mahabad, azerbaijan",2020-07-25 12:24:49
16yearold,Farhad Navai,,2023-06-10 00:19:44
"district, capitals",,Shahrake Bagheri,2023-06-10 06:15:00
"Briefing, report, Friday June 9 2023, the past days, Resistance, Daily",the National Council of Resistance of Iran NCRI,,2020-07-25 12:25:28
,NCRI Commentary Endurance,,2023-06-09 13:20:29
"Sandra Lindsay, Sandra, nurse, said",ICU,,2020-12-14 21:11:19
"p, exchange",Unfortunately Hansard,,2020-07-25 12:24:38
"Watch, arrived, morningsonthe",,Oregon,2020-12-14 23:13:35
