what,who,where,when
"nadu, released, want, 31, 6988, date, 4249584, cases, national, mens, deaths, government, two, corona, covid19, new, 25th July, reported, virus, states, TN, 148521, 1257, successful",,"US, the United States",2020-07-25 12:24:38
"Americans, receive, contract, hospital, Getting, Ontarian, look, tracing, built, covid, dose, vaccinated, hand, first, next weekend, review, vaccine, seeing, getting, comprehensive","COVID19, Baptist, Pfizer",Ireland,2020-07-25 12:24:49
local,Community Pharmacy,,2020-07-25 12:27:00
"Cases, 1329, 206737",,Chennai,2020-07-25 12:25:46
"pledged, Fiasco, Testing",St Mirrenhave,,2020-07-25 12:25:34
"best, Coach, salescoach, business, Rakesh Sharma",India Website,,2020-07-25 12:24:48
"three, judge, massacre, Supreme, Ecuador, Qatar, save, 12, cup2022, cup, atrocities, others, becoming, revolution, thing, lions, Best, 2022, Qatar 20 world cup, Ali Khamenei, 7, emergencyservice, controllers, 1 July 2023, worldcup2022, Paris, england, 1988, June 7 2023, one, Friday, World Cup 2022 Ecuador, defeats, world, Leader","Gaffers, Fifa","Azerbaijan, iran, azerbaijan, Wales, GlanceWednesday",2020-07-25 12:24:38
,,"Azerbaijan, iran",2022-11-20 23:40:14
,,"iran, azerbaijan",2022-11-20 23:40:14
,,iran,2022-11-20 23:40:14
"Come, Bring",,England,2022-11-20 23:33:02
"cant, us",,Canada,2020-07-25 12:24:48
demand,TSN,,2022-11-20 23:34:48
"March, protests, June 9, Iranian, secular, kill, Execution, leads, Free Iran March, June, 9, people, mullahs, Locals, southeast, Free, November, iran2023, free, November 2022",Democratic Republic,"Iran, Mahabad, Tehran, Zahedan",2020-07-25 12:24:49
,,"Iran, Zahedan",2023-06-09 16:09:28
,,"Iran, Zahedan",2023-06-09 16:09:28
"protestors, alive",,zahedan,2023-06-10 08:57:07
"sign, amplify, Lets",Democratic Coalition for a Free Iran,,2022-11-20 23:54:31
"district, capitals",,Shahrake Bagheri,2023-06-10 06:15:00
Attack,,Iran Urmia,2023-06-10 03:52:06
response,Judiciary,,2023-06-10 03:52:06
"Briefing, Daily, report, Friday June 9 2023, the past days, Resistance, News",the National Council of Resistance of Iran NCRI,,2020-07-25 12:25:28
"Sandra Lindsay, Sandra, nurse, said",ICU,,2020-12-14 21:11:19
"Watch, arrived, morningsonthe",,Oregon,2020-12-14 23:13:35
"pfizer, Quidangen, bio",,Toronto,2020-12-12 15:59:32
