what,who,where,when
"arbitro, fermato",,Macerata,2024-09-15 22:46:00
"collega, ricever",,Nichelino,2024-09-16 11:52:00
gesto,Lautaro,,2024-01-14 10:24:00
"ATTIVO, attacchi, fuorigioco, monza, cross, riunisce, Finale, :, rischi, inter, gol, prova, Ministro, 6, bondo, scoppiettante, ministro","Izzo, Mota, magistratura salvini, dumfries, Repubblica, consiglio federale",pontida,2024-01-14 10:24:00
"abbatte, cio, l', avversario, 3, detenuti, vs, contropiede, 4, ragazzi, niente, 9258, carcere, zero, interrogatorio","Pavard, Fallo, Cera","Monza, bergamo",2024-01-14 10:24:00
"interrompe, secondi, dopo",Airoldi,,2024-09-03 09:13:00
"pagelle, Mentre",Caporetto,,2024-09-16 08:05:00
"segnato, dell', raffreddoreMonza, ieri, -, immune, cittadinanza, nato, marottaleague","Inter, Nazionale","Italia, Milano",2024-08-30 13:25:00
"sblocca, clamorosamente",dany mota,,2024-09-15 22:29:00
"SERIAMENTE, SQUALIFICATO",LINO GIULIANO,,2024-09-16 21:58:00
"RECORD, grandefratello",RICCARDO FOGLI,,2024-09-16 18:52:00
"concorrenti, prende, 14",Jessica,,2024-09-15 10:25:00
"mentre, scena","Luzzi, Buonamici",,2024-09-17 01:49:00
"succede, GI",JESSICA,,2024-09-16 21:58:00
,Clarissa,,2024-09-16 22:19:00
"ottimo, vuole",Mediaset,,2024-09-17 10:27:00
"amico, politiche, isola, verzeni, delitto, sharon, qui, Purtroppo, d', Cittadinanza, inquadrato, attitudini, terribile, facile, agito",Moussa Sangare,"Chignolo, paderno Dugnano, Terno d'isola",2024-08-30 13:25:00
"2011si, corpo",Yara Gambirasio,,2024-09-09 19:49:00
"delineano, successo, killer, sentirsi, poveretta, assassino, stati, indaga, pomeriggio5, Arresto, convalidato, Omicidio, omicidio, social, grigliata, caso, omicida, Moussa","sharon verzeni, Matteo Salvini, Matteo salvini",,2024-08-30 13:25:00
"convalida, gip",,Bergamo,2024-09-03 09:13:00
"aprire, politico, anni, voterei, solo, FALSO, denunciato, processo, votato, confonde, immigrazione, aver, Interno, usato, !, durante, migranti","moll Salvini, Governo, salvini, Conte, governo, Salvini",,2024-09-01 20:56:00
,"moll Salvini, governo, Conte",,2024-09-15 10:25:00
"sempre, paese, stato",Sharon Verzeni,,2024-09-01 18:34:00
,ITALIANA,,2024-08-30 13:25:00
"capirlo, perch, indagato","Borsellino, Falcone",,2024-09-01 20:56:00
famiglia,,Paderno Dugnano,2024-09-01 20:56:00
andare,,Spgna,2024-09-17 09:32:00
dimostrato,,Maltaha,2024-09-17 09:32:00
"chiesto, Pm, requisitoria",Procura,Palermo,2024-09-16 15:35:00
"interviene, pubblicamente",Meloni,,2024-09-17 09:25:00
,Open Arms Salvini,,
"punto, delegittima","magistratura, Lucio Bond",,2024-09-17 07:18:00
"sbarco, 147",,Lampedusa,2024-09-15 10:25:00
"bordo, porto, scelta",,"Diciotti, Catania, Open Arms",2024-09-16 15:35:00
,,italia,2024-08-30 13:25:00
"partita, procedimenti",Tar,,2024-09-15 22:29:00
grazie,elon musk,,2024-09-15 00:07:00
poi,Pessina,,2024-09-09 14:35:00
