;date;text;news
;7:49 PM · Sep 9, 2024;#MoussaSangare pochi minuti prima aveva ucciso a coltellate per strada #SharonVerzeni a Terno d'isola. qui è inquadrato a Chignolo d'isola (tra l'altro tristemente famosa per il ritrovamento del corpo di Yara Gambirasio nel 2011)....si ferma e svolta per non essere visto dal guidatore dell'auto in arrivo e poi riparte verso casa.lucidissimo.;"Omicidio Sharon Verzeni"
;11:47 AM · Sep 2, 2024;4 coltelli in tasca e prove tecniche di omicidio. Risparmiateci la lagna della follia #SharonVerzeni;"Omicidio Sharon Verzeni"
;11:03 AM · Sep 3, 2024;“Ho tenuto il coltello. Volevo un ricordo” #SharonVerzeni;"Omicidio Sharon Verzeni"
;9:12 AM · Sep 10, 2024;Ecco il video di #SharonVerzeni in cui si vede #MoussaSangare che scappa in bicicletta;"Omicidio Sharon Verzeni"
;3:10 PM · Sep 1, 2024;#Capezzone sul caso #SharonVerzeni e Moussa Sangare. Cittadinanza facile e ipocrisia della sinistra. Come dargli torto.;"Omicidio Sharon Verzeni"
;11:24 AM · Sep 3, 2024;Moussa Sangare: “Purtroppo è capitato, è passato un mese, piangere non posso piangere, non ti puoi buttare giù altrimenti non ti rialzi più” #SharonVerzeni;"Omicidio Sharon Verzeni"
;9:49 PM · Sep 13, 2024;Praticamente questo assassino schifoso di #MoussaSangare, fallito rapper narciso wannabe gangster, ha ammazzato quella poveretta di #SharonVerzeni per sentirsi potente, vivo. Che razza di coglione senza speranza. #Quartogrado;"Omicidio Sharon Verzeni"
;4:26 PM · Sep 4, 2024;L'assassino di #SharonVerzeni per la sinistra è ITALIANISSIMO;"Omicidio Sharon Verzeni"
;12:53 PM · Sep 2, 2024;Nel carcere di #Bergamo l'interrogatorio di #MoussaSangare, accusato di aver ucciso con 4 coltellate #SharonVerzeni a #TernoDIsola. "Non so perchè l'ho fatto", ha detto al giudice;"Omicidio Sharon Verzeni"
;5:22 PM · Sep 2, 2024;"Avevo paura di mio fratello, mi dispiace molto per quello che è successo" Omicidio #SharonVerzeni, a #Pomeriggio5 parla in esclusiva la sorella del killer;"Omicidio Sharon Verzeni"
;10:14 AM · Sep 3, 2024;#SharonVerzeni Si delineano i profili di un delitto terribile. Moussa Sangare ha agito con lucidità e il suo stato mentale era pienamente integro. Lo scrive il gip di Bergamo nella convalida del fermo in carcere.;"Omicidio Sharon Verzeni"
;10:49 AM · Sep 5, 2024;Non solo #SharonVerzeni. Si indaga sui delitti irrisolti nella zona: "#MoussaSangare è un serial killer?;"Omicidio Sharon Verzeni"
;6:34 PM · Sep 1, 2024;Questo paese ha un disperato bisogno di affrontare le emergenze psichiatriche sommerse ed emerse. Non di rendicontare le tragedie in ragione di nazionalità, religione o attitudini politiche #Paderno Dugnano #SharonVerzeni;"Omicidio Sharon Verzeni"
;9:13 AM · Sep 3, 2024;L'omicidio di #SharonVerzeni. Arresto convalidato per #MoussaSangare. Per il giudice il suo stato mentale è perfettamente integro. L'uomo sarà trasferito in un altro carcere dopo che i detenuti, a #Bergamo, gli hanno lanciato contro bombolette incendiarie;"Omicidio Sharon Verzeni"
;8:37 PM · Sep 1, 2024;"Il paese di Sharon Verzeni è sempre stato tranquillo, non ci sono mai stati problemi;"Omicidio Sharon Verzeni"
;1:25 PM · Aug 30, 2024;L'assassino di #SharonVerzeni è ITALIANO: - nato in Italia, a Milano - cittadinanza italiana - ha studiato ed è cresciuto in Italia Quindi la cultura che ha avuto più influenza su di lui è quella ITALIANA.;"Omicidio Sharon Verzeni"
