;Unnamed: 0;author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text;keyword;favorite_count_previous;retweet_count_previous;real_news
0;0;Agenzia_ansa;Mon Sep 02 09:15:12 +0000 2024;24;11543;3;17;E' cominciato nel carcere di Bergamo l'interrogatorio di Moussa Sangare, accusato di omicidio aggravato dalla premeditazione e dai futili motivi per aver ucciso con 4 coltellate Sharon Verzeni la notte tra il 29 e 30 luglio scorsi a Terno d'Isola. #ANSA https://t.co/W839258ZjR;carcere,interrogatorio,moussa,omicidio,premeditazione,futili,motivi,coltellate,notte,luglio,scorsi,terno,isola;17;3;"Omicidio Sharon Verzeni"
1;1;Agenzia_ansa;Mon Sep 02 10:31:51 +0000 2024;28;7098;9;11;Starlink, provider satellitare di proprietà di Elon Musk, continuerà a garantire l'accesso a X in Brasile, malgrado la sospensione decisa dal Tribunal supremo federale. #ANSA  https://t.co/8MZzBExDoF;starlink,proprietà,elon,accesso,sospensione,decisa,tribunal,supremo,federale,ansa;5;3;"Starlink in Brasile"
2;2;Agenzia_ansa;Mon Sep 02 10:18:34 +0000 2024;9;6386;1;1;Dopo la fiammata dei prezzi per il tour degli Oasis, il governo britannico annuncia che studierà misure contro le 'rivendite truffaldine'. #ANSA https://t.co/dz9jzVy0cg;fiammata,prezzi,tour,governo,britannico,misure,ansa;9;0;"Ritorno Oasis"
3;3;Agenzia_ansa;Mon Sep 02 10:08:33 +0000 2024;8;5898;3;2;Settimana con tanti temporali su tutta l'Italia ma sarà caldo. Da giovedì atteso un calo termico. #ANSA https://t.co/s9XSLOpxMu https://t.co/HWD8t15U93;settimana,temporali,caldo,giovedì,atteso,calo,termico,ansa;4;1;"Previsione del tempo prima settimana Settembre"
4;4;Agenzia_ansa;Mon Sep 02 08:19:21 +0000 2024;24;11831;7;11;"Strage in famiglia nel Milanese. Il diciassettenne che ha confessato di aver ucciso il padre, la madre e il fratellino, rivela al pm: ""Avverto un malessere. Mi sentivo estraneo in famiglia"". Attesa l'udienza di convalida dell'arresto. #ANSA https://t.co/lUassURnzq";strage,famiglia,milanese,diciassettenne,confessato,padre,madre,fratellino,pm,avverto,malessere,estraneo,famiglia,attesa,udienza,arresto,ansa;15;5;"Strage in famiglia Paderno Mugnano"
5;5;Agenzia_ansa;Mon Sep 02 09:59:29 +0000 2024;28;7844;7;9;"Caso Sharon, il Codacons chiede di estendere le indagini verso gli enti locali competenti. ""Si indaghi su possibili omissioni sanitarie"". Nonostante tre denunce per violenze e lettere alle autorità competenti, nessuno si sarebbe attivato per bloccare i maltrattamenti di Sangare.";caso,indagini,enti,locali,competenti,indaghi,possibili,omissioni,sanitarie,denunce,violenze,lettere,autorità,competenti,maltrattamenti;25;1;"Omicidio Sharon Verzeni"
6;6;Agenzia_ansa;Mon Sep 02 09:49:41 +0000 2024;3;5246;0;8;"Ha confermato le dichiarazioni già rese Moussa Sangare, accusato dell'omicidio di Sharon Verzeni interrogato oggi dal gip Raffaella Mascarino. ""Non so perché l'ho fatto. Ero uscito di casa con la sensazione di fare del male"", ha detto il 31enne. #ANSA";dichiarazioni,moussa,omicidio,gip,mascarino,casa,31enne,ansa;2;0;"Omicidio Sharon Verzeni"
7;7;Agenzia_ansa;Mon Sep 02 09:31:32 +0000 2024;110;8132;12;1;PARALIMPIADI | L'azzurra Veronica Yoko Plebani, 28enne bresciana di Gavardo, ha conquistato la medaglia d'argento nella prova di ParaTriathlon donne PTS 2 di Parigi 2024. #ANSA  https://t.co/nJRmdbh8rd https://t.co/lAFD4MBJP1;azzurra,veronica,yoko,plebani,bresciana,gavardo,medaglia,argento,paratriathlon,donne,ansa;48;11;"Paralimpiadi Parigi 2024: Yoko Plebani"
8;8;Agenzia_ansa;Mon Sep 02 09:15:05 +0000 2024;12;5575;2;0;Arrestato in Tunisia il candidato alla presidenza del piccolo partito liberale Azimoun, a un mese dal voto. E' accusato di aver falsificato le firme a sostegno della sua lista. #ANSA  https://t.co/FycquXAu3j;presidenza,piccolo,partito,liberale,azimoun,mese,voto,firme,sostegno,lista,ansa;11;2;"Arresto candidato liberale turco Azimoun"
9;9;Agenzia_ansa;Mon Sep 02 08:50:58 +0000 2024;14;6908;8;3;Con l'ex premier Cazeneuve il presidente Macron da inizio alle consultazioni per nominare un nuovo premier, a quasi due mesi dalle elezioni politiche in Francia. Forse domani il nome. #ANSA https://t.co/O3Y2XxF6Je;ex,premier,cazeneuve,presidente,macron,inizio,consultazioni,nuovo,premier,mesi,elezioni,politiche,nome;6;0;"Elezioni politiche Francia"
