author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text
Agenzia_ansa;Mon Aug 26 08:43:34 +0000 2024;10;1637;3;1;Smart si ribalta e muore una bambina, denunciata la mamma che la teneva in braccio. Ieri era stato arrestato per omicidio stradale l'uomo che era alla guida, compagno della donna, senza patente. #ANSA https://t.co/2M5KFYrrEa
Agenzia_ansa;Mon Aug 26 08:36:46 +0000 2024;15;2622;1;2;Nonostante i 400 punti che gli sono stati tolti per la positività al doping, Jannik Sinner conserva il primo posto della classifica Atp. L'azzurro precede di 1900 punti Novak Djokovic e di 2000 Carlos Alcaraz. Sette gli italiani tra i primi 100. #ANSA https://t.co/AcvlONPz5u
Agenzia_ansa;Mon Aug 26 08:19:07 +0000 2024;8;3635;2;0;Portogallo, scossa di terremoto del quinto grado vicino a Lisbona. Epicentro in mare, a circa 80 km a sud-ovest della capitale. #ANSA https://t.co/tUpmsV1NJj
Agenzia_ansa;Mon Aug 26 08:11:14 +0000 2024;16;4820;2;4;Il veliero Bayesian: indagato il comandante James Cutfiled, naufragio e omicidio colposi #ANSA https://t.co/xV52XQFBSw
Agenzia_ansa;Mon Aug 26 07:34:55 +0000 2024;8;5282;1;0;Scossa di terremoto nella notte nell'Appennino Bolognese. Magnitudo 3.9 a Castel del Rio, poi altre tre scosse più lievi. #ANSA https://t.co/KIqCCF3IXF
Agenzia_ansa;Mon Aug 26 07:32:33 +0000 2024;8;5407;4;0;L’anticiclone inizia a indebolirsi ma nei prossimi giorni il caldo aumenterà. Precipitazioni attese in Piemonte, Lombardia e Veneto. #ANSA https://t.co/8UgzWwBfed
Agenzia_ansa;Mon Aug 26 07:13:13 +0000 2024;9;6095;3;4;UCRAINA | Ancora una notte di bombardamenti russi su diverse regioni ucraine. Si registrano almeno due morti e varie interruzioni locali della corrente elettrica. #ANSA https://t.co/Jf8pVfPp20
Agenzia_ansa;Mon Aug 26 06:32:55 +0000 2024;36;10830;12;31;La giustizia francese estende la detenzione di Pavel Durov, fondatore e Ceo della società che gestisce la app Telegram. Il fermo ha scatenato la protesta della Russia, ma anche di Elon Musk ed Edward Snowden. #ANSA  https://t.co/WUA9HWgqFI
Agenzia_ansa;Mon Aug 26 06:10:17 +0000 2024;4;7432;2;1;Kim ong-un ha seguito personalmente i test per i droni militari d'attacco che ha cominciato a produrre la Corea del Nord. #ANSA  https://t.co/JPOIDuEVbE e146d.html
Agenzia_ansa;Mon Aug 26 05:55:12 +0000 2024;4;7910;3;1;Dormire freschi, i tessuti adatti alla calda estate. Guida alla scelta dei materiali: percalle, lino e raso #ANSA  https://t.co/Ios0gLcYCU
Agenzia_ansa;Mon Aug 26 05:40:12 +0000 2024;54;9680;12;16;Nel Livornese arriva il 'vigile in carrozzina', segnalerà le difficoltà sulla strada per i portatori di handicap   #ANSA  https://t.co/JR5nKqSRx8
Agenzia_ansa;Mon Aug 26 05:30:14 +0000 2024;42;10215;10;21;L'Ue ha autorizzato la commercializzazione del vaccino a mRna 'mResvia' per immunizzare gli adulti di età superiore ai 60 anni contro le malattie delle basse vie respiratorie, causate dall'infezione da virus respiratorio sinciziale  #ANSA  https://t.co/HCsZA6nEKx
Agenzia_ansa;Mon Aug 26 05:27:12 +0000 2024;0;7375;1;0;"📣 New Podcast! ""PRIME PAGINE | Tajani frena sullo Ius Scholae ma avvisa sull’Autonomia "" on @Spreaker #autonomia #conte #dimaio #gaza #governo #guerra #hamas #hezbollah #israele #ius #libano #m5s #musk #primepagine #rassegna #razzi #salvini #scholae https://t.co/bEEnjdSTOA"
Agenzia_ansa;Mon Aug 26 05:20:13 +0000 2024;47;8832;11;4;VIDEO | Oggi è la giornata mondiale del cane. E' stata istituita nel 2004. In Italia ci sono circa 14 milioni di cani domestici #ANSA https://t.co/PAtGB2QWOy
Agenzia_ansa;Mon Aug 26 05:10:12 +0000 2024;1;8019;1;0;#AccadeOggi - Cronaca -  I principali avvenimenti previsti per la giornata  #ANSA https://t.co/25USW9sZiM
Agenzia_ansa;Mon Aug 26 05:00:28 +0000 2024;16;8196;3;0;Buongiorno da Agenzia #ANSA . Le previsioni del tempo per oggi #ANSA https://t.co/bs8w0KnJC6 https://t.co/nwXMuL2nv6
Agenzia_ansa;Mon Aug 26 04:56:44 +0000 2024;21;8994;10;0;Portogallo, scossa terremoto del 5/o grado vicino a Lisbona. Epicentro in mare, circa 80 km a sud-ovest della capitale https://t.co/E9Yiji78pL
Agenzia_ansa;Mon Aug 26 02:10:48 +0000 2024;12;9593;5;0;Venezuela: candidato opposizione, Giustizia non è indipendente. Edmundo Gonzalez Urrutia convocato dalla procura generale https://t.co/XBGd5Z9dOk
Agenzia_ansa;Mon Aug 26 01:31:12 +0000 2024;15;9304;4;1;Naufragio Bayesian: La Repubblica, indagato il comandante Cutfield. Per naufragio e omicidio plurimo colposi https://t.co/NyfcyhZQ8y
Agenzia_ansa;Mon Aug 26 00:53:27 +0000 2024;29;9244;4;2;Terremoto di magnitudo 6.9 a Tonga https://t.co/HBstsALfHd
Agenzia_ansa;Mon Aug 26 00:27:10 +0000 2024;18;8479;5;4;Mosca, testato con successo dispositivo anti-droni. Tass, sperimentato dalle unità di assalto sul fronte ucraino https://t.co/6OGboR3hd2
Agenzia_ansa;Mon Aug 26 00:17:12 +0000 2024;7;7597;4;3;Usa, negoziati tregua a Gaza continueranno nei prossimi giorni https://t.co/XfUP2o5Z3i
Agenzia_ansa;Sun Aug 25 23:38:48 +0000 2024;8;7967;3;7;Raid israeliano a ovest di Gaza, almeno cinque morti. Lo riferisce l'agenzia palestinese Wafa https://t.co/zWslLerRPc
Agenzia_ansa;Sun Aug 25 20:43:36 +0000 2024;13;13052;2;0;SERIE A | Napoli-Bologna 3-0 nella seconda giornata di campionato. #ANSA https://t.co/AumidRTR5m
Agenzia_ansa;Sun Aug 25 20:39:04 +0000 2024;21;12732;1;4;SERIE A | Roma-Empoli 1-2 nella seconda giornata di campionato. #ANSA https://t.co/T6c7X3Nw9T
Agenzia_ansa;Sun Aug 25 19:22:47 +0000 2024;35;16175;14;6;MEDIO ORIENTE | Un forte boato si è sentito questa sera a Tel Aviv. Il braccio armato di Hamas ha annunciato di aver attaccato con un missile M90. #ANSA https://t.co/NJxEkxQVwL
Agenzia_ansa;Sun Aug 25 19:01:08 +0000 2024;21;14205;4;1;Cade in un canale irriguo a Spinetoli, vicino a Ascoli, muore a 3 anni. Bimba deceduta in un incendio in casa nel Pisano #ANSA https://t.co/dCNwUHH5nx
Agenzia_ansa;Sun Aug 25 18:45:11 +0000 2024;4;11459;1;0;DIRETTA | Serie A, in campo Napoli-Bologna   #ANSA https://t.co/qeRZCh2uCb
Agenzia_ansa;Sun Aug 25 18:45:11 +0000 2024;7;10801;1;0;DIRETTA | Serie A, in campo Roma-Empoli   #ANSA https://t.co/UCZqJs9IZ0
Agenzia_ansa;Sun Aug 25 18:40:54 +0000 2024;7;10680;4;6;"GUERRA IN MEDIO ORIENTE I Al Cairo prosegue il negoziato, Hamas sotto pressione perchè accetti. I colloqui sono definiti ""costruttivi"" ma restano tante le incognite (Il punto alle ore 20:40)  #ANSA https://t.co/tswRKLKx0T"
Agenzia_ansa;Sun Aug 25 18:31:49 +0000 2024;18;11202;3;0;SERIE A | Torino-Atalanta 2-1 nella seconda giornata di campionato. #ANSA https://t.co/5lt2MaRRkX
Agenzia_ansa;Sun Aug 25 18:27:33 +0000 2024;8;10137;1;0;SERIE A | Fiorentina-Venezia 0-0 nella seconda giornata di campionato #ANSA https://t.co/ZzLF7IVOMb
Agenzia_ansa;Sun Aug 25 18:11:39 +0000 2024;10;11216;1;1;SERIE A | La Juventus non molla e vuole continuare a essere la regina del mercato. #ANSA https://t.co/LxFxTrN130
Agenzia_ansa;Sun Aug 25 17:09:47 +0000 2024;26;14318;6;9;Il naufragio del veliero Bayesian: tutti i dubbi da chiarire. Interrogato il comandante, si va verso gli avvisi di garanzia #ANSA https://t.co/Dsk8j7Rcfi
Agenzia_ansa;Sun Aug 25 16:48:00 +0000 2024;99;15160;4;3;Lo svedese Armand Duplantis ha stabilito il nuovo primato mondiale del salto con l'asta vincendo in 6,26 la gara di Diamond League a Chorzow, in Polonia. #ANSA https://t.co/0Umru6ntoB
Agenzia_ansa;Sun Aug 25 16:35:01 +0000 2024;10;10750;2;0;Il britannico Adam Yates della Uae-Emirates ha vinto per distacco la nona tappa della Vuelta. #ANSA https://t.co/iVc9zJFQG3
Agenzia_ansa;Sun Aug 25 16:30:23 +0000 2024;19;10477;5;3;Traffico molto intenso nel weekend di controesodo #ANSA  https://t.co/wtEfrtMuWd
Agenzia_ansa;Sun Aug 25 16:30:18 +0000 2024;5;9510;1;0;DIRETTA | Serie A, in campo Fiorentina-Venezia   #ANSA https://t.co/nPgMgpLgM5
repubblica;Mon Aug 26 08:51:04 +0000 2024;0;71;0;0;Caccia a Sinwar: la tecnologia Usa per cercare nei tunnel l’ultimo big di Hamas. Ma lui si protegge con travestimenti e corrieri come Bin Laden https://t.co/fUVyOh849R
repubblica;Mon Aug 26 08:41:05 +0000 2024;3;1471;0;1;Ché Adams, gol per il Torino nel segno del comandante Guevara: chi è l’attaccante che ha piegato l’Atalanta https://t.co/wZLDQ5daho
repubblica;Mon Aug 26 08:36:34 +0000 2024;20;2243;3;10;Covid, i soldi della Fondazione An a chi denunciò Conte e Speranza. L’ex ministro: “Era Meloni che alimentava indagini quando era all’opposizione” https://t.co/MscPyA5D8A
repubblica;Mon Aug 26 08:22:05 +0000 2024;2;3054;0;1;Ambiente e informazione, torna la conferenza sul Soft Power a Venezia https://t.co/sIKCwviQhP
repubblica;Mon Aug 26 08:17:07 +0000 2024;0;;3;0;RT @Maumol: Colpire la Lega dove fa più male. C'è un terreno su cui Antonio Tajani è pronto a rendere infuocato l'autunno: l'Autonomia. Lo…
repubblica;Mon Aug 26 08:16:15 +0000 2024;3;2815;1;0;Islanda, crollo in una grotta di ghiaccio: muore un turista, tre feriti https://t.co/IBmXDzgRjU
repubblica;Mon Aug 26 08:02:33 +0000 2024;2;2842;1;0;Ponti d’acqua verso il futuro. Lo sviluppo del trasporto lungo il Lago Maggiore e il Ticino https://t.co/xeut2uBOCo @EuropaItalia1
repubblica;Mon Aug 26 07:46:04 +0000 2024;9;3818;6;2;La sanità pubblica e gratuita https://t.co/J2Mm4eo7kN @concitadeg #invececoncita
repubblica;Mon Aug 26 07:42:10 +0000 2024;27;6799;5;3;Oasis, arriva la reunion con dieci concerti a Wembley https://t.co/6d3gr0jpVz
repubblica;Mon Aug 26 07:33:12 +0000 2024;6;4268;1;1;Milan, il discorso di Fonseca e il confronto tra Ibrahimovic e la squadra per ripartire dopo il ko di Parma https://t.co/339QRZpUyk
repubblica;Mon Aug 26 07:17:37 +0000 2024;4;4105;1;0;Venezia 81, dalle date ai film in concorso: cosa c’è da sapere della Mostra del cinema https://t.co/oEUESskTmO
repubblica;Mon Aug 26 06:35:33 +0000 2024;1;5657;0;4;I commenti di oggi: La vittoria di Conte e le sue ricadute [di Stefano Folli] #26agosto https://t.co/2jVTXFsxR7
repubblica;Mon Aug 26 06:31:35 +0000 2024;5;5318;1;4;La grande frenata dell’economia verde. Il pressing che allontana l’obiettivo emissioni zero https://t.co/vuSEy5VqSq
repubblica;Mon Aug 26 06:30:34 +0000 2024;2;4816;0;4;I commenti di oggi: Israele-Hezbollah, l’escalation della guerra [di Enrico Franceschini] #26agosto https://t.co/qX2QeLBnyd
repubblica;Mon Aug 26 06:26:33 +0000 2024;6;5308;0;6;La crescita delle rinnovabili non mette fuori gioco i fossili https://t.co/mA8Bfowq6f
repubblica;Mon Aug 26 05:43:13 +0000 2024;10;5808;5;0;Terremoto in Portogallo, scossa di magnitudo 5. Epicentro al largo di Lisbona https://t.co/bNFWxbpOkK
repubblica;Mon Aug 26 05:30:34 +0000 2024;10;7599;2;39;Oggi su Repubblica: L’uomo comune di Kamala contro Trump [di Ezio Mauro] #26agosto https://t.co/sV0McXZ1Uc
repubblica;Mon Aug 26 05:02:04 +0000 2024;15;7212;6;11;La prima pagina di oggi #26august https://t.co/LZaZp2Gm1r 📰 https://t.co/GUgWS2v0ga
repubblica;Mon Aug 26 02:18:34 +0000 2024;16;6400;6;5;Maduro non si illuda: in Venezuela la lotta per la libertà continua https://t.co/m3ljTGmMNq
repubblica;Mon Aug 26 01:45:05 +0000 2024;3;5582;0;4;Guerra Ucraina - Russia, le news di oggi. La difesa aerea ucraina impegnata a respingere attacco russo su Kiev. Bombe su un hotel: morto un membro del team Reuters https://t.co/uqPcppFKXy
repubblica;Mon Aug 26 01:05:35 +0000 2024;4;5502;2;1;Guerra Israele - Hezbollah, le notizie di oggi: Israele lancia un attacco preventivo contro Hezbollah: 320 razzi al confine. Usa:  i negoziati continueranno nei porssimi giorni https://t.co/VWLbcEp9jG
repubblica;Mon Aug 26 01:01:03 +0000 2024;8;5573;2;5;La dottrina Rubin, l’inventore dell’Iron Dome: “Israele ha attaccato preventivamente Hezbollah per evitare il collasso dello scudo di difesa” https://t.co/RR0HetqZ9L
repubblica;Mon Aug 26 00:56:03 +0000 2024;12;6753;3;30;Dopo l’attentato di Solingen è allarme per i baby jihadisti. Così l’Isis radicalizza i ragazzi https://t.co/QNTG5KJ27K
repubblica;Mon Aug 26 00:52:08 +0000 2024;14;12061;1;114;Maria Elena Boschi: “Basta coi veti e rancori 5S. Si vince uniti” https://t.co/UJjBLAjjtA
repubblica;Mon Aug 26 00:46:35 +0000 2024;8;5452;5;5;Estremisti salafiti e neonazisti, la ricca Renania nella morsa. “Ma non cederemo al terrore” https://t.co/hvN37SxGN8
repubblica;Mon Aug 26 00:41:34 +0000 2024;5;5058;3;4;Gli Stati Uniti schierano le portaerei per evitare l’escalation regionale dopo lo scontro tra Israele ed Hezbollah https://t.co/FpGyo23mSd
repubblica;Mon Aug 26 00:37:09 +0000 2024;2;4651;1;2;Etgar Keret: “La mia Israele, un paese prigioniero dell’emergenza” https://t.co/Gw1vbUw3Zx
repubblica;Sun Aug 25 23:39:34 +0000 2024;5;5612;5;0;Il piano di Forza Italia in due mosse per bloccare le intese tra governo e Regioni. La “corte” ai cattolici https://t.co/ZKwe9SGzIf
repubblica;Sun Aug 25 23:34:33 +0000 2024;15;6942;8;22;Ue, Meloni non indica il commissario. Il ritardo italiano irrita von der Leyen https://t.co/biy8IyuyMq
repubblica;Sun Aug 25 23:10:34 +0000 2024;5;5319;0;0;Serie A, l’onda lunga dell’Europeo che frena le grandi https://t.co/vRhpxFT7n2
repubblica;Sun Aug 25 20:43:33 +0000 2024;4;8320;0;4;L’equilibrismo di Nasrallah: vendica il suo vice ma cerca di evitare la guerra totale  https://t.co/5bahMqZ9s5
repubblica;Sun Aug 25 20:09:34 +0000 2024;7;9451;0;2;Francia, calciatori e pubblico in fuga: il bar dello stadio va in fiamme, sospesa Orleans-Valenciennes https://t.co/eyi9KUzfkP
repubblica;Sun Aug 25 20:04:33 +0000 2024;7;8845;3;1;Missili e aerei in azione: un giorno di guerra tra Israele e Hezbollah https://t.co/60GNzUxPOB
repubblica;Sun Aug 25 18:45:34 +0000 2024;9;8317;1;1;Bimbo di tre anni cade in un canale ad Ascoli: le sue condizioni sono disperate https://t.co/fRbscrSL45
