;author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text;keyword
0;guardian;Tue Aug 27 15:32:19 +0000 2024;20;18884.0;2;2;‘I only play goddesses now’: Janet McTeer on starring in ‘Succession with gods’ drama Kaos https://t.co/YB0b3LXRUE;Kaos,Janet,Succession,play,goddess,McTeer,starring,god,drama
1;guardian;Tue Aug 27 15:20:23 +0000 2024;10;21884.0;1;5;Millions loved the Notting Hill carnival but there was too much crime. As an ex-cop, I could make it better | Leroy Logan https://t.co/AgOqg6smkW;Logan,Notting,Hill,Leroy,Millions,crime,excop,loved,carnival,make
2;guardian;Tue Aug 27 14:56:09 +0000 2024;14;23136.0;2;5;Calls to close ‘vile’ website ranking countries by tourist deaths on balconies https://t.co/eSfVATGmuY;Calls,balcony,close,vile,website,ranking,country,tourist,death
3;guardian;Tue Aug 27 14:38:39 +0000 2024;16;27703.0;10;20;One price for locals, another for tourists: Lisbon restaurants’ secret tax on out-of-towners https://t.co/h6xJYnp65D;Lisbon,local,outoftowners,price,tourist,restaurant,secret,tax
4;guardian;Tue Aug 27 14:34:00 +0000 2024;8;25412.0;1;2;Guardian Weekly readers: share your best recent pictures with us https://t.co/FqmhtgD0k5;Weekly,Guardian,reader,share,recent,picture
5;guardian;Tue Aug 27 14:13:58 +0000 2024;15;30079.0;2;2;Francis Ford Coppola confirms he kissed extras on Megalopolis set https://t.co/B6kHG40Dp5;Ford,Coppola,Megalopolis,Francis,set,confirms,kissed,extra
6;guardian;Tue Aug 27 13:28:33 +0000 2024;6;27889.0;3;0;UK gangster Curtis Warren admits breaches of crime prevention order https://t.co/vIBHV2Jzyy;Curtis,Warren,order,gangster,admits,breach,crime,prevention
7;guardian;Tue Aug 27 13:08:03 +0000 2024;10;30173.0;1;0;Path clears for Paramount merger with Skydance after Bronfman drops bid https://t.co/fG1JR5sOut;Paramount,Skydance,Bronfman,Path,bid,clear,merger,drop
8;guardian;Tue Aug 27 12:53:48 +0000 2024;46;33104.0;12;10;What the Telegram founder’s arrest means for the regulation of social media firms https://t.co/UUzGyk5Ji4;Telegram,firm,founder,arrest,regulation,social,medium
9;guardian;Tue Aug 27 12:31:05 +0000 2024;3;32324.0;0;3;Mexico protests and a human pyramid: photos of the day – Tuesday https://t.co/wNGGdsWbKT;Tuesday,Mexico,protest,human,pyramid,photo,day
10;guardian;Tue Aug 27 12:09:00 +0000 2024;33;42578.0;5;96;Share your reaction to the Oasis reunion https://t.co/UVUhkXmO7y;Oasis,Share,reunion,reaction
11;guardian;Tue Aug 27 12:06:27 +0000 2024;15;33653.0;5;11;Three men arrested over stabbing of woman at Notting Hill carnival https://t.co/THdKm4KzAl;Notting,Hill,carnival,men,arrested,stabbing,woman
12;guardian;Tue Aug 27 11:30:51 +0000 2024;23;34953.0;5;4;Rescuers search rubble after hotel struck in Ukraine's Kryvyi Rih – video https://t.co/qJLfOoBPCd;Ukraine,Kryvyi,Rih,Rescuers,video,search,rubble,hotel,struck
